time, act_r, act_thr, th_mo, th_bi
0.0342,0.328388,1.5678,0.713533,2.42206
0.0343,0.328309,1.56766,0.713192,2.42213
0.0344,0.32823,1.56753,0.712852,2.42221
0.0345,0.328151,1.5674,0.712513,2.42229
0.0346,0.328072,1.56727,0.712176,2.42237
0.0347,0.327993,1.56715,0.71184,2.42246
0.0348,0.327914,1.56702,0.711506,2.42254
0.0349,0.327836,1.5669,0.711174,2.42262
0.035,0.327757,1.56678,0.710843,2.42271
0.0351,0.327678,1.56666,0.710514,2.4228
0.0352,0.3276,1.56654,0.710186,2.42289
0.0353,0.327521,1.56642,0.709861,2.42298
0.0354,0.327442,1.5663,0.709536,2.42307
0.0355,0.327364,1.56619,0.709214,2.42316
0.0356,0.327285,1.56607,0.708893,2.42326
0.0357,0.327207,1.56596,0.708573,2.42335
0.0358,0.327129,1.56585,0.708256,2.42345
0.0359,0.32705,1.56574,0.70794,2.42355
0.036,0.326972,1.56564,0.707626,2.42365
0.0361,0.326894,1.56553,0.707314,2.42375
0.0362,0.326816,1.56543,0.707003,2.42385
0.0363,0.326737,1.56532,0.706694,2.42396
0.0364,0.326659,1.56522,0.706387,2.42406
0.0365,0.326581,1.56513,0.706082,2.42417
0.0366,0.326503,1.56503,0.705779,2.42428
0.0367,0.326425,1.56493,0.705477,2.42439
0.0368,0.326347,1.56484,0.705177,2.4245
0.0369,0.326269,1.56475,0.704879,2.42461
0.037,0.326191,1.56466,0.704583,2.42473
0.0371,0.326114,1.56457,0.704289,2.42484
0.0372,0.326036,1.56448,0.703997,2.42496
0.0373,0.325958,1.56439,0.703706,2.42508
0.0374,0.32588,1.56431,0.703418,2.4252
0.0375,0.325803,1.56423,0.703131,2.42533
0.0376,0.325725,1.56415,0.702846,2.42545
0.0377,0.325648,1.56407,0.702563,2.42558
0.0378,0.32557,1.56399,0.702282,2.4257
0.0379,0.325493,1.56392,0.702003,2.42583
0.038,0.325416,1.56384,0.701726,2.42596
0.0381,0.325338,1.56377,0.701451,2.42609
0.0382,0.325261,1.5637,0.701178,2.42623
0.0383,0.325184,1.56363,0.700906,2.42636
0.0384,0.325107,1.56357,0.700637,2.4265
0.0385,0.32503,1.5635,0.70037,2.42664
0.0386,0.324953,1.56344,0.700104,2.42678
0.0387,0.324876,1.56338,0.699841,2.42692
0.0388,0.324799,1.56332,0.699579,2.42706
0.0389,0.324723,1.56326,0.69932,2.4272
0.039,0.324646,1.56321,0.699062,2.42735
0.0391,0.324569,1.56315,0.698807,2.4275
0.0392,0.324493,1.5631,0.698553,2.42765
0.0393,0.324416,1.56305,0.698302,2.4278
0.0394,0.32434,1.563,0.698052,2.42795
0.0395,0.324264,1.56295,0.697805,2.4281
0.0396,0.324188,1.56291,0.697559,2.42826
0.0397,0.324111,1.56286,0.697316,2.42841
0.0398,0.324035,1.56282,0.697074,2.42857
0.0399,0.323959,1.56278,0.696835,2.42873
0.04,0.323884,1.56274,0.696597,2.42889
0.0401,0.323808,1.56271,0.696361,2.42905
0.0402,0.323732,1.56267,0.696128,2.42922
0.0403,0.323657,1.56264,0.695896,2.42938
0.0404,0.323581,1.56261,0.695667,2.42955
0.0405,0.323506,1.56258,0.695439,2.42971
0.0406,0.323431,1.56255,0.695214,2.42988
0.0407,0.323355,1.56252,0.69499,2.43005
0.0408,0.32328,1.5625,0.694769,2.43023
0.0409,0.323205,1.56247,0.694549,2.4304
0.041,0.32313,1.56245,0.694332,2.43058
0.0411,0.323056,1.56243,0.694116,2.43075
0.0412,0.322981,1.56242,0.693902,2.43093
0.0413,0.322907,1.5624,0.693691,2.43111
0.0414,0.322832,1.56238,0.693481,2.43129
0.0415,0.322758,1.56237,0.693274,2.43147
0.0416,0.322684,1.56236,0.693068,2.43165
0.0417,0.32261,1.56235,0.692864,2.43184
0.0418,0.322536,1.56234,0.692662,2.43202
0.0419,0.322462,1.56233,0.692463,2.43221
0.042,0.322388,1.56233,0.692265,2.43239
0.0421,0.322315,1.56233,0.692069,2.43258
0.0422,0.322242,1.56232,0.691875,2.43277
0.0423,0.322168,1.56232,0.691683,2.43296
0.0424,0.322095,1.56232,0.691493,2.43316
0.0425,0.322022,1.56233,0.691305,2.43335
0.0426,0.32195,1.56233,0.691119,2.43354
0.0427,0.321877,1.56234,0.690935,2.43374
0.0428,0.321804,1.56234,0.690752,2.43394
0.0429,0.321732,1.56235,0.690572,2.43413
0.043,0.32166,1.56236,0.690393,2.43433
0.0431,0.321588,1.56237,0.690217,2.43453
0.0432,0.321516,1.56239,0.690042,2.43473
0.0433,0.321444,1.5624,0.689869,2.43493
0.0434,0.321373,1.56242,0.689698,2.43514
0.0435,0.321302,1.56243,0.689528,2.43534
0.0436,0.32123,1.56245,0.689361,2.43554
0.0437,0.321159,1.56247,0.689195,2.43575
0.0438,0.321089,1.56249,0.689031,2.43595
0.0439,0.321018,1.56251,0.688869,2.43616
0.044,0.320947,1.56254,0.688709,2.43637
0.0441,0.320877,1.56256,0.68855,2.43658
0.0442,0.320807,1.56259,0.688394,2.43678
0.0443,0.320737,1.56262,0.688239,2.43699
0.0444,0.320668,1.56264,0.688085,2.4372
0.0445,0.320598,1.56267,0.687934,2.43741
0.0446,0.320529,1.56271,0.687784,2.43763
0.0447,0.32046,1.56274,0.687636,2.43784
0.0448,0.320391,1.56277,0.68749,2.43805
0.0449,0.320322,1.5628,0.687345,2.43826
0.045,0.320254,1.56284,0.687202,2.43848
0.0451,0.320185,1.56288,0.687061,2.43869
0.0452,0.320117,1.56291,0.686921,2.43891
0.0453,0.32005,1.56295,0.686784,2.43912
0.0454,0.319982,1.56299,0.686647,2.43934
0.0455,0.319915,1.56303,0.686513,2.43955
0.0456,0.319847,1.56307,0.68638,2.43977
0.0457,0.319781,1.56312,0.686248,2.43999
0.0458,0.319714,1.56316,0.686118,2.4402
0.0459,0.319647,1.56321,0.68599,2.44042
0.046,0.319581,1.56325,0.685863,2.44064
0.0461,0.319515,1.5633,0.685738,2.44086
0.0462,0.31945,1.56334,0.685615,2.44107
0.0463,0.319384,1.56339,0.685493,2.44129
0.0464,0.319319,1.56344,0.685372,2.44151
0.0465,0.319254,1.56349,0.685253,2.44173
0.0466,0.319189,1.56354,0.685136,2.44195
0.0467,0.319125,1.56359,0.68502,2.44217
0.0468,0.319061,1.56365,0.684905,2.44239
0.0469,0.318997,1.5637,0.684792,2.4426
0.047,0.318933,1.56375,0.68468,2.44282
0.0471,0.31887,1.56381,0.68457,2.44304
0.0472,0.318807,1.56386,0.684461,2.44326
0.0473,0.318744,1.56392,0.684354,2.44348
0.0474,0.318682,1.56397,0.684248,2.4437
0.0475,0.318619,1.56403,0.684143,2.44392
0.0476,0.318557,1.56409,0.68404,2.44413
0.0477,0.318496,1.56415,0.683938,2.44435
0.0478,0.318435,1.5642,0.683838,2.44457
0.0479,0.318373,1.56426,0.683738,2.44479
0.048,0.318313,1.56432,0.68364,2.445
0.0481,0.318252,1.56438,0.683544,2.44522
0.0482,0.318192,1.56444,0.683449,2.44544
0.0483,0.318132,1.5645,0.683354,2.44565
0.0484,0.318073,1.56457,0.683262,2.44587
0.0485,0.318013,1.56463,0.68317,2.44609
0.0486,0.317955,1.56469,0.68308,2.4463
0.0487,0.317896,1.56475,0.682991,2.44651
0.0488,0.317838,1.56482,0.682903,2.44673
0.0489,0.31778,1.56488,0.682816,2.44694
0.049,0.317722,1.56494,0.68273,2.44715
0.0491,0.317665,1.56501,0.682646,2.44737
0.0492,0.317608,1.56507,0.682563,2.44758
0.0493,0.317551,1.56514,0.682481,2.44779
0.0494,0.317495,1.5652,0.6824,2.448
0.0495,0.317439,1.56526,0.68232,2.44821
0.0496,0.317384,1.56533,0.682241,2.44842
0.0497,0.317328,1.5654,0.682163,2.44863
0.0498,0.317273,1.56546,0.682087,2.44883
0.0499,0.317219,1.56553,0.682011,2.44904
0.05,0.317165,1.56559,0.681936,2.44925
0.0501,0.317111,1.56566,0.681863,2.44945
0.0502,0.317057,1.56572,0.68179,2.44966
0.0503,0.317004,1.56579,0.681719,2.44986
0.0504,0.316952,1.56585,0.681648,2.45006
0.0505,0.316899,1.56592,0.681578,2.45026
0.0506,0.316847,1.56599,0.68151,2.45046
0.0507,0.316796,1.56605,0.681442,2.45066
0.0508,0.316744,1.56612,0.681375,2.45086
0.0509,0.316693,1.56618,0.681309,2.45106
0.051,0.316643,1.56625,0.681244,2.45125
0.0511,0.316593,1.56631,0.68118,2.45145
0.0512,0.316543,1.56638,0.681117,2.45164
0.0513,0.316494,1.56645,0.681054,2.45184
0.0514,0.316445,1.56651,0.680993,2.45203
0.0515,0.316396,1.56657,0.680932,2.45222
0.0516,0.316348,1.56664,0.680872,2.45241
